Pais,Anho,NumPatentes,TotalCitas,MediaCitas,MaxCitas
Belgium,1998,144,236,1.6388888888888888,11
Belgium,1999,13,16,1.2307692307692308,2
Belize,1976,1,10,10.0,10
Bermuda,1975,1,11,11.0,11
Bermuda,1976,2,7,3.5,4
Bermuda,1977,1,8,8.0,8
Bermuda,1979,1,6,6.0,6
Bermuda,1980,1,8,8.0,8
Bermuda,1981,2,8,4.0,5
Bermuda,1982,1,7,7.0,7
Bermuda,1983,1,1,1.0,1
Bermuda,1984,2,19,9.5,16
Bermuda,1985,1,1,1.0,1
Bermuda,1986,2,10,5.0,6
Bermuda,1987,4,22,5.5,9
Bermuda,1988,4,41,10.25,26
Bermuda,1989,6,18,3.0,5
Bermuda,1990,1,3,3.0,3
Bermuda,1991,1,12,12.0,12
Bermuda,1992,1,3,3.0,3
Bermuda,1994,1,6,6.0,6
Bermuda,1995,1,1,1.0,1
Bermuda,1996,1,1,1.0,1
Bermuda,1997,1,1,1.0,1
Bolivia,1967,1,2,2.0,2
Bolivia,1968,1,3,3.0,3
Bolivia,1969,2,11,5.5,7
Bolivia,1970,6,55,9.166666666666666,23
Bolivia,1971,6,66,11.0,32
Bolivia,1972,4,26,6.5,13
Bolivia,1973,5,47,9.4,14
Bolivia,1974,5,40,8.0,27
Bolivia,1976,1,8,8.0,8
Bolivia,1977,1,5,5.0,5
Bolivia,1978,1,12,12.0,12
Bolivia,1980,1,4,4.0,4
Bolivia,1981,1,4,4.0,4
Bolivia,1985,1,4,4.0,4
Bolivia,1987,2,3,1.5,2
Bolivia,1989,1,4,4.0,4
Brazil,1963,13,36,2.769230769230769,6
Brazil,1964,3,4,1.3333333333333333,2
Brazil,1965,9,28,3.111111111111111,7
Brazil,1966,13,46,3.5384615384615383,8
Brazil,1967,10,27,2.7,5
Brazil,1968,11,48,4.363636363636363,15
Brazil,1969,13,83,6.384615384615385,25
Brazil,1970,13,42,3.230769230769231,12
Brazil,1971,11,52,4.7272727272727275,11
Brazil,1972,13,39,3.0,7
Brazil,1973,15,78,5.2,12
Brazil,1974,18,71,3.9444444444444446,16
Brazil,1975,13,67,5.153846153846154,13
Brazil,1976,16,101,6.3125,19
Brazil,1977,17,117,6.882352941176471,55
Brazil,1978,22,153,6.954545454545454,36
Brazil,1979,16,70,4.375,13
Brazil,1980,22,108,4.909090909090909,25
Brazil,1981,19,105,5.526315789473684,17
Brazil,1982,24,124,5.166666666666667,19
Brazil,1983,13,69,5.3076923076923075,14
Brazil,1984,18,91,5.055555555555555,22
Brazil,1985,26,180,6.923076923076923,39
Brazil,1986,21,127,6.0476190476190474,34
Brazil,1987,29,154,5.310344827586207,20
Brazil,1988,26,154,5.923076923076923,21
Brazil,1989,31,140,4.516129032258065,21
Brazil,1990,32,159,4.96875,28
Brazil,1991,44,153,3.477272727272727,17
Brazil,1992,31,122,3.935483870967742,15
Brazil,1993,43,133,3.0930232558139537,13
Brazil,1994,41,96,2.341463414634146,7
Brazil,1995,40,93,2.325,7
Brazil,1996,42,78,1.8571428571428572,7
Brazil,1997,23,37,1.608695652173913,6
Brazil,1998,15,20,1.3333333333333333,2
Brazil,1999,1,1,1.0,1
British,1984,1,5,5.0,5
British,1986,1,1,1.0,1
British,1993,1,2,2.0,2
British,1994,1,1,1.0,1
British,1997,1,2,2.0,2
British,1998,1,1,1.0,1
Brunei,1986,1,4,4.0,4
Bulgaria,1964,1,5,5.0,5
Bulgaria,1965,1,3,3.0,3
Bulgaria,1967,4,49,12.25,41
Bulgaria,1968,1,2,2.0,2
Bulgaria,1969,6,44,7.333333333333333,24
Bulgaria,1970,7,31,4.428571428571429,13
Bulgaria,1971,8,37,4.625,9
Bulgaria,1972,10,49,4.9,7
Bulgaria,1973,16,46,2.875,8
Bulgaria,1974,11,51,4.636363636363637,14
Bulgaria,1975,18,61,3.388888888888889,7
Bulgaria,1976,18,98,5.444444444444445,15
Bulgaria,1977,25,111,4.44,17
Bulgaria,1978,29,150,5.172413793103448,22
Bulgaria,1979,11,47,4.2727272727272725,8
Bulgaria,1980,18,71,3.9444444444444446,17
Bulgaria,1981,20,144,7.2,44
Bulgaria,1982,10,31,3.1,8
Bulgaria,1983,15,83,5.533333333333333,16
Bulgaria,1984,17,71,4.176470588235294,17
Bulgaria,1985,18,60,3.3333333333333335,8
Bulgaria,1986,13,81,6.230769230769231,22
Bulgaria,1987,23,71,3.0869565217391304,20
Bulgaria,1988,16,58,3.625,12
Bulgaria,1989,11,89,8.090909090909092,38
Bulgaria,1990,17,49,2.8823529411764706,10
Bulgaria,1991,5,15,3.0,7
Bulgaria,1992,2,6,3.0,5
Bulgaria,1993,4,5,1.25,2
Bulgaria,1994,1,2,2.0,2
Bulgaria,1995,1,2,2.0,2
Bulgaria,1996,1,1,1.0,1
Bulgaria,1997,2,2,1.0,1
Cameroon,1966,1,4,4.0,4
Cameroon,1972,1,11,11.0,11
Canada,1963,443,1700,3.8374717832957113,99
Canada,1964,484,1965,4.059917355371901,29
Canada,1965,638,2673,4.189655172413793,34
Canada,1966,719,3166,4.403337969401947,41
Canada,1967,754,3525,4.675066312997347,38
Canada,1968,711,3166,4.452883263009845,42
Canada,1969,801,3792,4.734082397003745,39
Canada,1970,881,4057,4.604994324631101,32
Canada,1971,1128,5834,5.171985815602837,35
Canada,1972,1086,6156,5.668508287292818,120
Canada,1973,1200,7052,5.876666666666667,56
Canada,1974,1203,7375,6.1305070656691605,104
Canada,1975,1160,7954,6.856896551724138,129
Canada,1976,1071,7087,6.617180205415499,102
Canada,1977,1095,7558,6.902283105022831,57
Canada,1978,1123,7477,6.658058771148709,72
Canada,1979,771,5230,6.783398184176394,55
Canada,1980,977,6425,6.576253838280451,55
Canada,1981,1043,7307,7.00575263662512,64
Canada,1982,916,6564,7.165938864628821,89
Canada,1983,904,6383,7.060840707964601,89
Canada,1984,1102,7870,7.1415607985480944,134
Canada,1985,1207,8515,7.054681027340513,62
Canada,1986,1193,8467,7.09723386420788,116
Canada,1987,1451,10544,7.26671261199173,90
Canada,1988,1326,9183,6.925339366515837,81
Canada,1989,1735,10767,6.205763688760807,99
Canada,1990,1643,10037,6.108947048082776,104
Canada,1991,1765,10506,5.952407932011331,153
Canada,1992,1677,9677,5.770423375074538,137
Canada,1993,1609,8308,5.163455562461156,64
Canada,1994,1608,7724,4.803482587064677,184
Canada,1995,1540,5910,3.8376623376623376,47
Canada,1996,1471,4488,3.0509857239972806,32
Canada,1997,1162,2590,2.2289156626506026,52
